publisher,count
Bryce Matulonis,27
Julie Waterman,27
themoneygardener,27
Patrick Mortimer,26
Option Wizard,26
Henry Khederian,26
Mark Page,26
Greg Troccoli,26
FAST Graphs,26
Mark Morelli,26
The Critical Metals Report,26
Kyle Bazzy,25
Zacks Small Cap Research,25
Vitaliy Katsenelson,24
Cooper Ziecik,24
Joshua Brown,24
Sean Hannon,24
Dr. John L Faessel,24
Kyial Robinson,24
Christopher Dier-Scalise,23
Econ Grapher,23
Activist Stocks,23
James Ha,23
Joe McCarty,23
Adam Parker,23
MicroCapital,22
Greg Harmon,22
Jae Jun,22
BookingAlpha,21
Steve Krause,21
Ben Reynolds - SureDividend.com,21
News On News,21
parlorfix,20
Abigail Field,20
Arshon Afrakhteh,20
Sleibhin,20
Kristin Bentz,20
Michael Thomsett,20
Prudena,20
Taipan Daily,20
Tom Aspray,20
Frank Holmes,19
Jeff Goldman,19
The Cannabis Investor,19
Marketfy Insights,19
Barel Karsan,19
Richard Smith,19
LearnBonds,19
Brandon Cunningham,18
Junior Analyst,18
Above Average Odds,18
William K. Black,18
moneytips,18
GOBankingRates,18
Tom Shaughnessy,18
Jaycee Tenn,17
Avi Gilburt,17
Natan Ponieman,17
mdmconsult,17
Samantha Scheltema,17
Jenna Wang,17
Brantley Foster,17
Stock Spin Offs,16
Dan Moskowitz,16
Cathy Ryan,16
Bob Lang,16
Investing Caffeine,15
Naufal Sanaullah,15
Allyson Brooks,15
Jennifer McDonell,15
Lightspeed Trading,15
Edgar Roth,15
BehindWallStreet,15
Phil's Stock World,15
Angry Bear,15
Khyathi Dalal,15
jsq_njoptions,15
Weiss Crypto,15
Spencer Schredder,14
Stock Tipper,14
The Stock Advisors,14
John Bougearel,14
Steve Patterson,14
John Butcofski,14
Devon Shire,14
Charles Hugh Smith,14
Larry Baer,14
EmergingMarkets,14
Dan Blystone,14
Jim Woods Investing,14
Marc Courtenay,14
Andrew Zatlin,14
Design Taxi,13
Gary Kwapik,13
Ofir Eyal Bar,13
Stock Market Leaked Research,13
Inelegant Investor,13
atbeaty,13
MarketScanners,13
Parm Mann Trader,13
Thomas Bruni,13
Chris Kimble,13
Rakesh Sharma,13
Dana Lyons,12
BullBearTrades,12
Aaron Jackson.Ed,12
Green Technology Investments,12
Alfidi Capital,12
David Smith,12
Kenny Polcari,12
Chemistfrog,12
Triple Pundit,12
ClosingBell,12
ABNNewswire,12
Zentrader,12
Morning Brew,12
Tobias Van Gils - Countach Research,12
Rob Wilson,12
Timothy Monforton,11
Anthony Viola,11
Ryan Dallavia,11
David Tumm,11
Dave Yelle,11
Ben Deng,11
Tom Blumer,11
Wilson Faber,11
Mike Lingenheld,11
John P. Gavin CFA,10
Giovani Ortiz,10
Frank Zorrilla,10
Momentum Options Trading,10
Pritesh Patel,10
Larry Doyle,10
Shaun C. Yu,10
Othanas Economopoulos,10
richa28dhand@gmail.com,10
AntonRobb,10
Javier Hasse and Alex Oleinic,10
Richard Cox,10
StockHouse,10
Jack Williams,10
Gene Balas,10
Loren Morrison,10
EidoSearch,9
Rod David,9
Osher Deri,9
GilverBook,9
Usman Rafi,9
Steve Sapletal,9
JC Parets,9
Dave Dispennette,9
Chuck Miller,9
Mortimer Duke,9
Joe Payne,9
Reuben Jackson,9
Press Release,9
riddock57,9
Fred Mason,9
optionsXpress_,8
The Mad Hedge Fund Trader,8
Robert Wolcott and Michael Lippitz,8
Graphiq,8
AlphaClone,8
Todd Rosen,8
Jesse Felder,8
Muhammad Bazil,8
James Altucher,8
Rich Meiers,8
Ron Insana,8
wallstreet1928,8
Marcus Goncalves,8
Courtney Myers,8
The Daily Gold,8
Darrell Martin,8
Stephen Vita,8
Michael Snyder,8
PanXchange,8
Patrick Curtis - Wall Street Oasis,8
Kayleigh Yerdon - DriveWealth,8
Jason Napodano,7
Young Guns Trading,7
msp2nyc,7
Alan Brochstein,7
Junnan Gao,7
Nomad Trader,7
Nomad Fund,7
StockChick,7
Forex Mansion,7
Alex Shadunsky,7
Leon Kuperman,7
Paul Price,7
mary lou,7
Nick Pirraglia,7
Shawn Cruz,7
David Russell - TradeStation,7
Tom Watson,7
Robert Irr,7
King of All Trades,7
Jelena Martinovic,7
Michele Schneider,7
Sami Karam,7
Ross Drew,7
Jesse Medina,6
Trey Robinson,6
Chris Ciaccia,6
Max Isaacman,6
Nasdaq Chronicles,6
SAT Waves Pro,6
Konstantinos Kamperoglou,6
Bo Wang,6
Johnny Stocks,6
Dave Wienke,6
Bruce Krasting,6
konraad,6
davidfabian,6
Daniel B. Kline,6
Gretchen Wilmoth,6
Annibale Marsili,6
Zahra Taneez,6
Unknown,6
Karl Denninger,6
Margaret Brennan,6
Sean Emory,6
Steve.W,6
Timothy Anderson,6
Kurtis Hemmerling,6
krishnabagra,6
Raghav Ravichander,6
AARP,6
Neal Goyal,6
BrianSozzi,6
Benzinga Events,6
Karen Starich,6
Joel Fisher,6
Robert A. Green,6
Parkin Sunil Furia,6
WikiTags,6
TwoStockGuys,6
Bill Baruch,6
Jared Woodard,6
JS Kim,6
LivingOffDividends,6
Oil Price,6
Kevin Light,6
Gail Mercer TradersHelpDesk,5
The Best Rates,5
Rachel Fox,5
Drew Levine,5
The Stock Trading Advisor,5
Hedge Fund Live,5
Sarah Paxton,5
Wale Edu,5
Yohay Elam,5
Ron Shields,5
Cory Mitchell,5
Thomas Rudy,5
Nick Marinoff,5
Stone Street Advisors,5
Andy Djordjalian,5
Charlie Strout,5
Serge Berger,5
Ron Wilson,5
Alex Schiff,5
Brad Thomas,5
Robert Ciura,5
Steve LeFante - AlphaSense,5
Stephen Mugo Weru,5
Benny Emerling,5
Anna Hicks,5
Scott McGovern,5
Daniel Wright,5
Michael Dalman,5
Chris Carey - Sharesleuth,5
douglascarey,5
Jordan Stone,5
jacobwolinsky,4
John Galt,4
Chris Fromhertz,4
Zack Miller,4
Michael Kahn - Technician,4
William Spencer,4
Aakin,4
Jason Leavitt,4
Guy Lerner,4
BlindReason,4
Matt Hogan,4
DividendYield,4
Invest 2 Success,4
Joule Financial,4
Andrew Rosenbaum,4
ShaileshKumar,4
GeorgeManiere,4
Elliott Wave,4
TraderMinute,4
Scott Connor,4
See It Market,4
seekinGold,4
Howard Lindzon,4
Neal Hamilton,4
Tatro Capital,4
David Miller,4
Nicole Dugan - DriveWealth,4
Kanak Kanti De,4
William Hill,4
tradingwithwaves,4
Chaim Siegel,4
Options_Guru,4
Evan Medeiros,4
David Alton Clark,4
Wax,4
Credibly,4
Terry Allen,4
BreakingFinanceNews,4
Larissa Lielacher,4
NickDonato,4
HourlyNerd,4
Titan,4
Justin Jellis,4
Christopher Sappo,4
Lido Isle Advisors,4
Bryan Stanford,4
DJ Borman,4
Sankalp Soni,4
Andy@andyswan.com,4
Patentplays,3
Atish Davda,3
Nathan Gilson,3
Investopedia,3
Wall Street Sector Selector,3
Scott Schneider,3
Barbara Friedberg,3
Ankitha Taranath,3
Steven Orr,3
David Malinowski,3
Keith McCullough,3
FollowMyAlpha,3
Mike Bernacchi,3
Heather Romanowski,3
Mark Salerno,3
GlenWoods,3
ETF Base,3
P. Luke LaVanway,3
Mark Fidelman,3
Brent Douglas,3
Bo Belmer - Drivewealth,3
Paul Sigrist,3
Ryan Cole,3
Chart-Caster,3
Yieke,3
Dennis Dick,3
Steven Richmond,3
Sha'Darian Corona-Green,3
Aswath Damodaran,3
GlobalChartAnalysis,3
David Cass,3
newsdesk+benzingastaffwriter3@benzinga.com,3
aefimoff@benzinga.com,3
Andre Gratian,3
Genius Trader,3
Anthony Dadlani,3
Jessica Moore,3
James Bartelloni,3
NextBigTrade,3
Brett Phillips,3
BenzingaStaff2,3
Steve Wambua,3
Zoey Parks,3
Andre Bourque,3
Adam Sarhan,3
Jeff Clark - Hard Assets Alliance,3
Aurie Maine,3
Carl Cachia,3
Trevor Turner,3
Tom Meilleur,3
The Fresh Toast,3
Stephen Bigalow,3
Benzinga Cannabis Contributors,3
summerellie,3
shivdeep@benzinga.com,3
Gerson Santillana,3
SpreadBetting.com,3
marketHEIST,3
Jeff Siegel,3
karnacua2,2
WooTrader,2
ScottKloustin,2
Ben Reynolds,2
theoxengroup,2
Catherine Ross,2
Samuel J Rae,2
Molly St. Louis,2
True Risk Labs,2
William Capuzzi - Apex Clearing,2
Brandon Vlaar,2
tsmartin,2
Devonte Kavanaugh,2
Dual Income No Kids Finance,2
MBM Research,2
Villanova,2
proconfidential,2
Alpha7Trading,2
IIJGII,2
jennifer25anthony@gmail.com,2
John Balder,2
Gold Investment,2
Tom Anderson,2
Accointing,2
Chris Katje,2
michaelfabian,2
andrew@tothetick.com,2
Connor Yee,2
Anupam Varshney,2
Logan Mohtashami,2
Simply Pennies,2
Bernard Clay,2
Dr. Stoxx,2
bwald,2
josieclarks,2
Patrick Krause,2
Jeff Nielson,2
Emily Elconin,2
Andrew Geller,2
Michael Shulman,2
andrewhorowitz,2
KomfieM,2
kiana@investdiva.com,2
TTT Hedge,2
Chip Ludgate,2
Jeff Myers,2
StockMetrix,2
Gino Bruno D'Alessio,2
Last Financier,2
Zac Mannes,2
Zinger Nation,2
Brian Kline,2
Chuck Stone,2
Joe Sirianni,2
Reuben L Sushman,2
Jeff Macke,2
fnmedia,2
Lennart Dobravsky,2
Beni Hakak,2
Viridian Capital Advisors,2
Gavin McMaster - Options Trading IQ,2
Khyathi,2
Direxion Investments,2
VJ Yahoo,2
Frank May,2
Maxime Croll,2
Lise Feng,2
Michael Davey,2
mattzinga,2
Michael Cancella,2
Alex Ivanovs,2
Marotta On Money,2
Wall St. Jesus,2
All Options On The Table with John Salters Jr.,2
andrewbeghou@benzinga.com,2
Armen,2
Saul Bowden,2
Ian Kar,2
LouisDematteis,2
Tom Busby,2
Rick Pearson,2
Larry R. Bernstein,2
Mike Kulej,2
Renu Zaretsky,2
Druce Vertes,2
Spencer James Lawrence,2
Adam Gefvert,2
Will Hubbard,2
George Michaels,2
Mike Paulenoff - MPTrader.com,2
UrbanRyno,2
Andrew Aziz,2
Melissa Brock,2
Jenna Stanek,2
Shaun Bhagwan,2
Yoav Helfman,2
JD Singh,1
StreetTalkLive,1
Ari Nazir,1
Bull Market Bear,1
Matthew Boesler,1
Silvio Tavares,1
Justin Triplett,1
Nat,1
Gavin McMaster,1
dbratzke,1
Chris Freeman,1
StreetID,1
LRWray,1
olatujer,1
TechniTrader,1
Jemstep,1
Paco Ahlgren,1
javierhasseandericterbush@benzinga.com,1
PacificTrader,1
Holly Huber - CrowdStreet,1
Ryan Smith,1
vic@forextraininggroup.com,1
official@stockmetrix.net,1
Alpha Works,1
Interactive Buyside,1
AnneMarieTrades,1
Doron Levin,1
Greg W. Harmon,1
TradingPub,1
summers s,1
coindesk,1
FindTheBest,1
CME Group,1
Rachelle Gordon,1
cyrus21,1
Stan Blacker,1
pagetraffic,1
GeoInvesting,1
Tom Kee,1
Frank Zorrila,1
Mark Collins,1
Goatmug Blog,1
Christian Fromhertz,1
swenstock,1
Elizabeeth Kalondu,1
elliottwave,1
Euro Pacific Capital,1
Alex Roslin,1
Economic Burn,1
joreal2479,1
Hasan Saleem,1
Vuru,1
The Professor,1
Mike Paulenoff,1
Michael Baer,1
China Alternative Investments Group,1
MyConstant Chris Roper,1
Forexpros.com,1
SMB Training,1
Joe Donohue,1
Joseph Benjamin XIII,1
karlalant,1
Bit Whisperer,1
parvgoel,1
KraneShares,1
Ashley Carter,1
OptionsWeekly,1
Etan Vlessing,1
Michael Zanger,1
catalystcorner,1
hawaiiforex,1
Hedgeye Risk Management,1
Suresh Gupta,1
Sophie Reynolds,1
phil,1
BobStewart,1
Austrolib,1
Francis Burr,1
Lakshmi Capital,1
Allan Farley,1
The Echo Boom Bomb,1
The Kobeissi Letter,1
gary,1
Bruno del Ama,1
Vikram Rangala,1
Brian Dolan,1
Happy Trading,1
MelissaBurns,1
TradingWins,1
Growth Aces,1
Shazir Mucklai - Imperium Group,1
Reena Cruz,1
Evan Brandoff,1
Junnan Guo,1
Stock Market Newz,1
Miri Segal,1
Lindsey Cogner,1
mjintertrader,1
Joe Donato,1
Anthony Valeri,1
adam@eosdetroit.io,1
Scout Finance Editorial Team,1
Foundation Investing,1
Dave Kelly,1
Niranjana Kannan,1
Dan Passarelli,1
milesyoung,1
Omkar Godbole,1
GlobalCoinReport.com,1
Andy Brown,1
Call Levels,1
Laura Jennings,1
Eric Martin,1
Michael Angelopoulos,1
Jose Rodrigo,1
Joshua Rodriguez,1
CannabisFN,1
janaviktoria,1
Kiana Danial,1
giovannimola,1
Varun Chavali,1
Andrew Moran,1
ValuePenguin,1
Mark Allen,1
HedgeCoVest,1
N.J. Beachum,1
Merry Jane,1
Steve Marks,1
Charlie Goodman,1
Joe Williams,1
CPL,1
Mark Davis,1
Adam Weiner,1
Gary Anderson,1
gmaxxx,1
WesternESA,1
Rodney Ohebsion,1
BlueHill,1
Joel Morehouse,1
Monetarex,1
Joseph Trevisani,1
Quicken Loans,1
Howie Bick,1
John Isige,1
Patrick Vo,1
Ezra Marbach,1
dhiraj.surapaneni@benzinga.com,1
D.Mero,1
Jr Deputy Accountant,1
Crowder Options,1
SurlyTrader,1
Chris Vermeulen,1
Jeremy Biberdorf,1
Daniel Bustamante,1
Scott Johnson,1
DoubleBlind Mag,1
Michael Miller - LA Weekly,1
Brad Slaughter,1
Bob Iaccino,1
MITECHNEWS,1
Mani Mahadevan,1
